profile_description_tr,monthly_data_usage_gb,monthly_voice_min,monthly_spend_try,tenure_months,past_accepted_count,past_rejected_count,complaint_count,data_usage_trend_pct,target_segment,target_priority,is_converted
"38 aylık abone, aylık 14.9 GB veri ve 472 dk konuşma, ortalama 432 TL harcama (ARPU), geçmişte 3 teklif kabul etmiş sadık müşteri.",14.939382731126514,472.0470945111734,432.11720348204744,38,3,0,0,8.703032858477581,YUKSEK_DEGER,YUKSEK,1
"2 aylık abone, aylık 29.5 GB veri ve 399 dk konuşma, ortalama 590 TL harcama (ARPU).",29.521397961408226,399.5056136788211,590.1046616438566,2,1,1,0,-3.9032090709955334,YUKSEK_DEGER,YUKSEK,1
"113 aylık abone, aylık 15.5 GB veri ve 379 dk konuşma, ortalama 283 TL harcama (ARPU).",15.517338873327203,379.64136041602126,283.3633051410688,113,1,2,0,32.19760685764555,BELIRSIZ,ORTA,1
"6 aylık abone, aylık 17.1 GB veri ve 849 dk konuşma, ortalama 476 TL harcama (ARPU), geçmişte 5 teklif kabul etmiş sadık müşteri.",17.11624123268422,849.9561402807213,475.59064398315815,6,5,0,1,18.025778915354977,YUKSEK_DEGER,YUKSEK,1
"46 aylık abone, aylık 14.2 GB veri ve 296 dk konuşma, ortalama 323 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",14.151536521303097,296.98093140886994,323.1633178284054,46,2,1,0,9.07138704460002,BELIRSIZ,ORTA,1
"50 aylık abone, aylık 21.4 GB veri ve 843 dk konuşma, ortalama 568 TL harcama (ARPU), veri kullanımı %24 düşüşte (churn sinyali).",21.418055786648072,843.54969713024,568.0670465131676,50,0,2,0,-23.57832502990645,RISKLI_KAYIP,YUKSEK,0
"38 aylık abone, aylık 9.3 GB veri ve 426 dk konuşma, ortalama 280 TL harcama (ARPU), 2 şikayet kaydı (memnuniyetsiz), geçmişte 3 teklif kabul etmiş sadık müşteri.",9.303005932820971,426.31179414957023,280.3517568969208,38,3,3,2,7.995985378276105,RISKLI_KAYIP,YUKSEK,0
"106 aylık abone, aylık 16.1 GB veri ve 462 dk konuşma, ortalama 421 TL harcama (ARPU).",16.083892925012357,462.95876042811886,421.44281347987146,106,0,1,1,74.54679513448113,YUKSEK_DEGER,YUKSEK,1
"88 aylık abone, aylık 22.5 GB veri ve 569 dk konuşma, ortalama 513 TL harcama (ARPU).",22.50713753631879,569.6889089980041,513.2949633128409,88,1,0,1,24.881682162482857,YUKSEK_DEGER,YUKSEK,1
"18 aylık abone, aylık 20.1 GB veri ve 459 dk konuşma, ortalama 490 TL harcama (ARPU).",20.108353351372553,459.2690900866977,490.24306037286453,18,0,0,1,-13.483569590812134,YUKSEK_DEGER,YUKSEK,1
"27 aylık abone, aylık 17.5 GB veri ve 786 dk konuşma, ortalama 456 TL harcama (ARPU), geçmişte 3 teklif kabul etmiş sadık müşteri.",17.48204068133852,786.395950991915,456.34742281701205,27,3,1,0,51.31149725533492,YUKSEK_DEGER,YUKSEK,1
"41 aylık abone, aylık 17.6 GB veri ve 962 dk konuşma, ortalama 511 TL harcama (ARPU).",17.62356229078162,962.6687903965551,511.2174964599362,41,1,0,0,-14.584840536432157,YUKSEK_DEGER,YUKSEK,1
"72 aylık abone, aylık 23.9 GB veri ve 468 dk konuşma, ortalama 527 TL harcama (ARPU).",23.88380260995061,468.51356848937246,526.7589989088306,72,1,5,1,22.857601017775426,YUKSEK_DEGER,YUKSEK,1
"92 aylık abone, aylık 57.1 GB veri ve 513 dk konuşma, ortalama 991 TL harcama (ARPU), geçmişte 3 teklif kabul etmiş sadık müşteri.",57.06113829798284,513.5524321670746,991.4617387943541,92,3,0,0,3.845004231218377,YUKSEK_DEGER,YUKSEK,0
"74 aylık abone, aylık 9.8 GB veri ve 567 dk konuşma, ortalama 286 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",9.776535049752336,567.3358385432203,286.4148093924968,74,2,2,0,9.553227157805626,BELIRSIZ,ORTA,1
"17 aylık abone, aylık 58.0 GB veri ve 708 dk konuşma, ortalama 1043 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",58.02076219486593,708.2113526985275,1043.0731404720939,17,2,1,1,10.470742953994314,YUKSEK_DEGER,YUKSEK,1
"119 aylık abone, aylık 9.5 GB veri ve 569 dk konuşma, ortalama 283 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",9.451023853898656,569.3031442088287,283.1495181375779,119,2,1,1,-1.189210660289893,BELIRSIZ,ORTA,1
"62 aylık abone, aylık 2.4 GB veri ve 877 dk konuşma, ortalama 278 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",2.423624418794427,877.4514822105191,277.52152035028007,62,2,3,0,-4.733492691791465,BELIRSIZ,ORTA,0
"29 aylık abone, aylık 11.9 GB veri ve 829 dk konuşma, ortalama 339 TL harcama (ARPU), veri kullanımı %28 düşüşte (churn sinyali), geçmişte 2 teklif kabul etmiş sadık müşteri.",11.850071736291095,829.3247833123855,338.5717918178069,29,2,1,0,-27.920852114079082,RISKLI_KAYIP,YUKSEK,0
"58 aylık abone, aylık 21.7 GB veri ve 362 dk konuşma, ortalama 401 TL harcama (ARPU), veri kullanımı %23 düşüşte (churn sinyali).",21.67723665942207,362.90752928098,401.0609549579899,58,1,0,0,-23.125475755263402,RISKLI_KAYIP,YUKSEK,1
"70 aylık abone, aylık 50.1 GB veri ve 704 dk konuşma, ortalama 999 TL harcama (ARPU).",50.14260939256549,704.1936331149658,998.8602622821933,70,1,1,0,13.349092481955427,YUKSEK_DEGER,YUKSEK,1
"78 aylık abone, aylık 8.8 GB veri ve 904 dk konuşma, ortalama 340 TL harcama (ARPU).",8.76031672770763,904.0678474619006,340.4654187787693,78,0,0,0,-12.067857903835407,BELIRSIZ,ORTA,1
"22 aylık abone, aylık 23.8 GB veri ve 501 dk konuşma, ortalama 513 TL harcama (ARPU).",23.79526993196819,501.04381084662333,513.138256684,22,0,0,0,-17.750247211372603,YUKSEK_DEGER,YUKSEK,0
"118 aylık abone, aylık 6.0 GB veri ve 541 dk konuşma, ortalama 203 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",5.971515478182069,541.1470256412887,203.12774476401492,118,2,1,0,75.68309751470048,BELIRSIZ,ORTA,1
"6 aylık abone, aylık 49.1 GB veri ve 494 dk konuşma, ortalama 888 TL harcama (ARPU).",49.081229299866465,494.39260042940896,887.9206876175571,6,0,1,0,67.23363563186427,YUKSEK_DEGER,YUKSEK,0
"26 aylık abone, aylık 35.3 GB veri ve 498 dk konuşma, ortalama 657 TL harcama (ARPU).",35.26184956653417,498.58487689529886,657.0745188466302,26,1,1,1,19.520602366157036,YUKSEK_DEGER,YUKSEK,1
"39 aylık abone, aylık 12.4 GB veri ve 266 dk konuşma, ortalama 242 TL harcama (ARPU).",12.374683419576188,266.3096896177904,241.98950427238847,39,1,1,0,23.037793452220548,BELIRSIZ,ORTA,0
"12 aylık abone, aylık 38.7 GB veri ve 334 dk konuşma, ortalama 737 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",38.663555860311966,334.3370097069899,736.9283529730188,12,2,0,0,-15.31041602657929,YUKSEK_DEGER,YUKSEK,0
"99 aylık abone, aylık 16.0 GB veri ve 615 dk konuşma, ortalama 449 TL harcama (ARPU), veri kullanımı %25 düşüşte (churn sinyali), geçmişte 2 teklif kabul etmiş sadık müşteri.",16.01923115686456,615.494743747446,448.8643879142837,99,2,2,0,-24.63102346511458,RISKLI_KAYIP,YUKSEK,0
"14 aylık abone, aylık 36.4 GB veri ve 902 dk konuşma, ortalama 773 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",36.37706882151549,902.7195949305557,772.979307587423,14,2,1,1,-3.508395652345195,YUKSEK_DEGER,YUKSEK,1
"22 aylık abone, aylık 17.4 GB veri ve 477 dk konuşma, ortalama 436 TL harcama (ARPU).",17.395154822008813,477.3278374963434,436.37546080973823,22,0,4,1,5.007413856863742,YUKSEK_DEGER,YUKSEK,1
"51 aylık abone, aylık 17.9 GB veri ve 471 dk konuşma, ortalama 470 TL harcama (ARPU).",17.892468502197612,471.4485394102884,469.7755160468367,51,1,2,0,22.826938988407157,YUKSEK_DEGER,YUKSEK,1
"23 aylık abone, aylık 12.6 GB veri ve 940 dk konuşma, ortalama 449 TL harcama (ARPU), veri kullanımı %41 düşüşte (churn sinyali), geçmişte 5 teklif kabul etmiş sadık müşteri.",12.555312089895091,940.3042140841469,449.0128021599985,23,5,2,0,-40.758412526662724,RISKLI_KAYIP,YUKSEK,0
"48 aylık abone, aylık 25.8 GB veri ve 378 dk konuşma, ortalama 526 TL harcama (ARPU), 2 şikayet kaydı (memnuniyetsiz), geçmişte 2 teklif kabul etmiş sadık müşteri.",25.750966175611175,378.34850763680265,526.3245863468271,48,2,0,2,58.68117919738741,RISKLI_KAYIP,YUKSEK,1
"71 aylık abone, aylık 18.8 GB veri ve 267 dk konuşma, ortalama 391 TL harcama (ARPU).",18.788836186705293,267.7513674587156,391.3513071868218,71,1,1,1,11.200617917138356,YUKSEK_DEGER,YUKSEK,1
"104 aylık abone, aylık 24.1 GB veri ve 434 dk konuşma, ortalama 518 TL harcama (ARPU), veri kullanımı %34 düşüşte (churn sinyali).",24.12433228868882,434.29691277250004,518.2092878306095,104,1,0,1,-33.76741751371356,RISKLI_KAYIP,YUKSEK,0
"50 aylık abone, aylık 4.8 GB veri ve 467 dk konuşma, ortalama 205 TL harcama (ARPU), geçmişte 3 teklif kabul etmiş sadık müşteri.",4.817330356862852,467.4431042411268,204.83099439647904,50,3,1,0,8.936869883721496,BELIRSIZ,ORTA,1
"89 aylık abone, aylık 37.2 GB veri ve 250 dk konuşma, ortalama 649 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",37.151918798574386,250.50938306098692,649.0815825159699,89,2,2,0,-17.561271577343135,YUKSEK_DEGER,YUKSEK,1
"13 aylık abone, aylık 42.8 GB veri ve 574 dk konuşma, ortalama 820 TL harcama (ARPU), 3 şikayet kaydı (memnuniyetsiz).",42.766662738158224,574.3916587450777,819.9050140777643,13,1,2,3,-19.31350241858134,RISKLI_KAYIP,KRITIK,0
"85 aylık abone, aylık 18.7 GB veri ve 789 dk konuşma, ortalama 475 TL harcama (ARPU), veri kullanımı %22 düşüşte (churn sinyali), geçmişte 2 teklif kabul etmiş sadık müşteri.",18.731474162617,789.6892699723071,474.69402032893055,85,2,1,0,-21.560047179361757,RISKLI_KAYIP,YUKSEK,1
"105 aylık abone, aylık 54.7 GB veri ve 342 dk konuşma, ortalama 928 TL harcama (ARPU), 2 şikayet kaydı (memnuniyetsiz), geçmişte 2 teklif kabul etmiş sadık müşteri.",54.686118991359464,342.80904525703477,927.8796037379939,105,2,0,2,-1.4121490454791292,RISKLI_KAYIP,YUKSEK,0
"10 aylık abone, aylık 47.3 GB veri ve 617 dk konuşma, ortalama 883 TL harcama (ARPU).",47.308973857486045,617.5156437907178,883.1433365594835,10,0,4,0,57.56789226885444,YUKSEK_DEGER,YUKSEK,1
"117 aylık abone, aylık 26.1 GB veri ve 679 dk konuşma, ortalama 612 TL harcama (ARPU).",26.09787725912399,679.1871351253546,611.8238124297228,117,1,2,0,7.316633466102676,YUKSEK_DEGER,YUKSEK,1
"55 aylık abone, aylık 39.0 GB veri ve 583 dk konuşma, ortalama 717 TL harcama (ARPU), 4 şikayet kaydı (memnuniyetsiz), geçmişte 2 teklif kabul etmiş sadık müşteri.",38.96102275011002,583.3231449451414,717.1000576338892,55,2,0,4,22.34724514824803,RISKLI_KAYIP,KRITIK,1
"9 aylık abone, aylık 33.0 GB veri ve 637 dk konuşma, ortalama 696 TL harcama (ARPU).",33.023045583298874,637.1385179482119,695.5487424202834,9,1,2,1,28.462857045786887,YUKSEK_DEGER,YUKSEK,1
"79 aylık abone, aylık 3.8 GB veri ve 639 dk konuşma, ortalama 258 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",3.7763648598844437,639.4654525190422,258.2924557861792,79,2,0,0,1.3810917860203245,BELIRSIZ,ORTA,0
"52 aylık abone, aylık 14.4 GB veri ve 437 dk konuşma, ortalama 376 TL harcama (ARPU), veri kullanımı %24 düşüşte (churn sinyali).",14.350495121525737,437.4544086163136,376.32266882505303,52,0,0,0,-24.02550046103345,RISKLI_KAYIP,YUKSEK,0
"2 aylık abone, aylık 27.2 GB veri ve 899 dk konuşma, ortalama 614 TL harcama (ARPU), veri kullanımı %35 düşüşte (churn sinyali).",27.230226213994023,899.7165144023736,614.1943046841005,2,1,3,0,-34.968542085404025,RISKLI_KAYIP,YUKSEK,0
"25 aylık abone, aylık 44.5 GB veri ve 849 dk konuşma, ortalama 836 TL harcama (ARPU).",44.453959637798704,849.5513668152431,835.9392194647012,25,1,2,1,-4.6863045916707335,YUKSEK_DEGER,YUKSEK,0
"13 aylık abone, aylık 5.6 GB veri ve 837 dk konuşma, ortalama 319 TL harcama (ARPU), geçmişte 3 teklif kabul etmiş sadık müşteri.",5.631714347429312,837.9822794482335,318.86318527342905,13,3,1,0,33.59840783454869,BELIRSIZ,ORTA,0
"98 aylık abone, aylık 4.0 GB veri ve 802 dk konuşma, ortalama 276 TL harcama (ARPU).",4.017338703421779,802.7351481087727,276.4332737055001,98,1,0,0,28.38480375124069,BELIRSIZ,ORTA,1
"51 aylık abone, aylık 16.7 GB veri ve 285 dk konuşma, ortalama 387 TL harcama (ARPU).",16.687414966429216,285.0041061133952,387.4433447620113,51,1,2,1,11.409515700652722,YUKSEK_DEGER,YUKSEK,1
"58 aylık abone, aylık 2.6 GB veri ve 785 dk konuşma, ortalama 225 TL harcama (ARPU).",2.6071598168015266,785.2124755623933,225.13378752421542,58,0,2,0,14.721965413967713,BELIRSIZ,ORTA,1
"34 aylık abone, aylık 16.3 GB veri ve 731 dk konuşma, ortalama 464 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",16.304921366568163,731.1202855099016,463.6014288881936,34,2,1,0,1.5793909888567281,YUKSEK_DEGER,YUKSEK,1
"35 aylık abone, aylık 22.0 GB veri ve 292 dk konuşma, ortalama 470 TL harcama (ARPU).",22.018579601872133,292.6952770112433,470.450112796913,35,0,0,0,-7.037049844699919,YUKSEK_DEGER,YUKSEK,1
"102 aylık abone, aylık 8.5 GB veri ve 557 dk konuşma, ortalama 285 TL harcama (ARPU), geçmişte 3 teklif kabul etmiş sadık müşteri.",8.454145493602514,557.0179289699844,285.3564765665541,102,3,0,0,-13.45458947134695,BELIRSIZ,ORTA,0
"3 aylık abone, aylık 16.6 GB veri ve 655 dk konuşma, ortalama 443 TL harcama (ARPU), veri kullanımı %32 düşüşte (churn sinyali).",16.605671152393292,655.3586898650576,442.66469035685543,3,0,2,0,-31.786256107546144,RISKLI_KAYIP,YUKSEK,0
"106 aylık abone, aylık 31.2 GB veri ve 932 dk konuşma, ortalama 716 TL harcama (ARPU).",31.188978321542848,932.863419624927,715.8663524738511,106,1,2,0,49.928145415627974,YUKSEK_DEGER,YUKSEK,0
"59 aylık abone, aylık 11.8 GB veri ve 744 dk konuşma, ortalama 351 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",11.808972011702442,744.9447715788517,351.47944862041743,59,2,1,0,9.278024182683165,YUKSEK_DEGER,YUKSEK,1
"70 aylık abone, aylık 9.6 GB veri ve 427 dk konuşma, ortalama 295 TL harcama (ARPU), geçmişte 4 teklif kabul etmiş sadık müşteri.",9.57277623566017,427.08685454433964,294.9419125123087,70,4,0,0,-6.061631391427465,BELIRSIZ,ORTA,1
"119 aylık abone, aylık 16.1 GB veri ve 939 dk konuşma, ortalama 528 TL harcama (ARPU).",16.103279131735924,939.0776916903926,528.0396755411479,119,1,2,0,50.52916339481203,YUKSEK_DEGER,YUKSEK,0
"48 aylık abone, aylık 7.8 GB veri ve 608 dk konuşma, ortalama 289 TL harcama (ARPU), geçmişte 4 teklif kabul etmiş sadık müşteri.",7.777252891606462,608.7559525427778,289.0761019189316,48,4,3,1,55.29956076905637,BELIRSIZ,ORTA,1
"64 aylık abone, aylık 52.3 GB veri ve 548 dk konuşma, ortalama 900 TL harcama (ARPU).",52.28966591275904,548.8317726193817,900.2835950557122,64,0,1,0,73.62895882520935,YUKSEK_DEGER,YUKSEK,1
"113 aylık abone, aylık 17.8 GB veri ve 534 dk konuşma, ortalama 403 TL harcama (ARPU).",17.75191055291193,534.5763606822376,402.5771345027062,113,1,0,0,-1.2081862084477288,YUKSEK_DEGER,YUKSEK,1
"19 aylık abone, aylık 10.3 GB veri ve 275 dk konuşma, ortalama 207 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",10.330268405991122,275.28895239537337,206.62893310339268,19,2,2,0,7.630769319485655,BELIRSIZ,ORTA,1
"67 aylık abone, aylık 20.0 GB veri ve 578 dk konuşma, ortalama 504 TL harcama (ARPU).",19.977164466863645,578.0460992367715,503.9745207216909,67,0,1,0,21.273898062370264,YUKSEK_DEGER,YUKSEK,1
"82 aylık abone, aylık 16.0 GB veri ve 699 dk konuşma, ortalama 453 TL harcama (ARPU).",16.04395564862099,699.4970514611316,453.48190391138405,82,1,1,0,46.554628331194294,YUKSEK_DEGER,YUKSEK,1
"103 aylık abone, aylık 14.9 GB veri ve 522 dk konuşma, ortalama 362 TL harcama (ARPU), geçmişte 3 teklif kabul etmiş sadık müşteri.",14.859300781722665,522.9233344949569,362.4331004747968,103,3,1,0,6.550579448918162,YUKSEK_DEGER,YUKSEK,1
"73 aylık abone, aylık 11.8 GB veri ve 684 dk konuşma, ortalama 321 TL harcama (ARPU).",11.806751788698518,684.0904954495116,321.37757826131207,73,0,4,0,-19.583871425867613,BELIRSIZ,ORTA,1
"116 aylık abone, aylık 11.4 GB veri ve 427 dk konuşma, ortalama 281 TL harcama (ARPU).",11.398427631997393,427.12178581716387,281.40192289611895,116,1,0,0,-13.834489519184778,BELIRSIZ,ORTA,0
"76 aylık abone, aylık 4.9 GB veri ve 571 dk konuşma, ortalama 219 TL harcama (ARPU).",4.912853825582069,571.814417144476,218.9073818417118,76,1,0,1,34.43578623472206,BELIRSIZ,ORTA,1
"5 aylık abone, aylık 38.9 GB veri ve 663 dk konuşma, ortalama 770 TL harcama (ARPU), geçmişte 3 teklif kabul etmiş sadık müşteri.",38.92552536229965,663.3080653217264,769.8267214694418,5,3,1,1,20.5258798288664,YUKSEK_DEGER,YUKSEK,1
"67 aylık abone, aylık 25.0 GB veri ve 637 dk konuşma, ortalama 556 TL harcama (ARPU).",25.047711637212824,637.9321754126842,555.5748899366806,67,1,1,1,0.6772471877379882,YUKSEK_DEGER,YUKSEK,0
"11 aylık abone, aylık 21.3 GB veri ve 278 dk konuşma, ortalama 465 TL harcama (ARPU).",21.26292325287812,278.9069820561907,464.968204465621,11,1,0,1,-0.9670027896597544,YUKSEK_DEGER,YUKSEK,1
"94 aylık abone, aylık 15.9 GB veri ve 512 dk konuşma, ortalama 370 TL harcama (ARPU), geçmişte 4 teklif kabul etmiş sadık müşteri.",15.870229660503396,512.1988098257543,369.71056114176054,94,4,2,0,0.6783615359087065,YUKSEK_DEGER,YUKSEK,1
"68 aylık abone, aylık 8.3 GB veri ve 935 dk konuşma, ortalama 317 TL harcama (ARPU).",8.340392482582063,935.4925860625212,316.9587688206173,68,1,2,0,35.97597574721502,BELIRSIZ,ORTA,1
"69 aylık abone, aylık 9.9 GB veri ve 501 dk konuşma, ortalama 264 TL harcama (ARPU), geçmişte 3 teklif kabul etmiş sadık müşteri.",9.865202311672165,501.51078513389643,263.570837447593,69,3,0,0,-14.723823652805642,BELIRSIZ,ORTA,0
"1 aylık abone, aylık 5.4 GB veri ve 603 dk konuşma, ortalama 251 TL harcama (ARPU), veri kullanımı %25 düşüşte (churn sinyali).",5.400364988508874,603.1615088223679,250.94703095871165,1,0,2,1,-25.33527752048364,RISKLI_KAYIP,YUKSEK,1
"91 aylık abone, aylık 10.8 GB veri ve 582 dk konuşma, ortalama 306 TL harcama (ARPU).",10.779904034374706,582.6488498902112,306.3679884852891,91,1,1,0,50.42021933947811,BELIRSIZ,ORTA,0
"92 aylık abone, aylık 7.5 GB veri ve 913 dk konuşma, ortalama 336 TL harcama (ARPU).",7.4620277706533775,913.6479517839302,335.89975055119595,92,1,0,0,5.626361800991509,BELIRSIZ,ORTA,0
"63 aylık abone, aylık 45.8 GB veri ve 858 dk konuşma, ortalama 894 TL harcama (ARPU), geçmişte 3 teklif kabul etmiş sadık müşteri.",45.757784951612926,858.0736244389341,894.3604917523974,63,3,1,0,3.0167810214487814,YUKSEK_DEGER,YUKSEK,1
"29 aylık abone, aylık 29.9 GB veri ve 761 dk konuşma, ortalama 681 TL harcama (ARPU).",29.925956039218445,761.5061999637619,680.8977341921845,29,1,0,1,21.774802992943474,YUKSEK_DEGER,YUKSEK,1
"82 aylık abone, aylık 18.3 GB veri ve 405 dk konuşma, ortalama 387 TL harcama (ARPU).",18.260453358001833,405.35153732549327,387.3681372223565,82,1,0,0,-19.72275896336456,YUKSEK_DEGER,YUKSEK,1
"12 aylık abone, aylık 9.0 GB veri ve 671 dk konuşma, ortalama 309 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",9.040677979687992,671.836609838416,308.6572293545688,12,2,0,1,23.762400019411928,BELIRSIZ,ORTA,0
"77 aylık abone, aylık 7.8 GB veri ve 713 dk konuşma, ortalama 331 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",7.763431472630965,713.5883486150263,330.687649247233,77,2,3,1,-4.568180983269318,BELIRSIZ,ORTA,0
"41 aylık abone, aylık 15.2 GB veri ve 460 dk konuşma, ortalama 353 TL harcama (ARPU).",15.187187845228356,460.27903288078915,352.91416692362094,41,1,1,0,33.141813417100195,YUKSEK_DEGER,YUKSEK,1
"2 aylık abone, aylık 30.7 GB veri ve 425 dk konuşma, ortalama 608 TL harcama (ARPU), veri kullanımı %33 düşüşte (churn sinyali), geçmişte 3 teklif kabul etmiş sadık müşteri.",30.687108157493242,425.8965788304622,608.1823093622016,2,3,0,0,-33.343352541754534,RISKLI_KAYIP,YUKSEK,0
"37 aylık abone, aylık 5.5 GB veri ve 941 dk konuşma, ortalama 331 TL harcama (ARPU).",5.5295679960825055,941.002829441406,331.0886436901715,37,1,0,1,16.266654699153275,BELIRSIZ,ORTA,0
"45 aylık abone, aylık 24.8 GB veri ve 539 dk konuşma, ortalama 535 TL harcama (ARPU), geçmişte 3 teklif kabul etmiş sadık müşteri.",24.84375354768238,539.8393375566143,534.877146495391,45,3,0,0,-0.7808142797651927,YUKSEK_DEGER,YUKSEK,0
"80 aylık abone, aylık 10.7 GB veri ve 922 dk konuşma, ortalama 362 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",10.745024846060291,922.9953637822297,361.74255396615564,80,2,3,0,-12.616082453083298,YUKSEK_DEGER,YUKSEK,0
"48 aylık abone, aylık 12.2 GB veri ve 799 dk konuşma, ortalama 430 TL harcama (ARPU).",12.20660885720888,799.4187510989068,429.87610981357267,48,1,0,1,24.283614480318477,YUKSEK_DEGER,YUKSEK,1
"24 aylık abone, aylık 17.9 GB veri ve 681 dk konuşma, ortalama 522 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",17.911009810631445,681.5753564750643,521.600732351978,24,2,2,0,1.2919519286612076,YUKSEK_DEGER,YUKSEK,1
"99 aylık abone, aylık 9.3 GB veri ve 690 dk konuşma, ortalama 327 TL harcama (ARPU).",9.27411179723068,690.5062872718969,327.4777785608614,99,0,0,0,16.65031995392161,BELIRSIZ,ORTA,1
"22 aylık abone, aylık 14.7 GB veri ve 319 dk konuşma, ortalama 303 TL harcama (ARPU), 2 şikayet kaydı (memnuniyetsiz), geçmişte 2 teklif kabul etmiş sadık müşteri.",14.669067518214627,319.9160879338465,302.6285841588774,22,2,5,2,36.642798019657576,RISKLI_KAYIP,YUKSEK,0
"100 aylık abone, aylık 8.7 GB veri ve 641 dk konuşma, ortalama 310 TL harcama (ARPU), geçmişte 4 teklif kabul etmiş sadık müşteri.",8.69213715537867,641.3549559668833,309.5261297738074,100,4,0,0,24.7873911055154,BELIRSIZ,ORTA,1
"11 aylık abone, aylık 11.4 GB veri ve 883 dk konuşma, ortalama 427 TL harcama (ARPU), 2 şikayet kaydı (memnuniyetsiz), veri kullanımı %22 düşüşte (churn sinyali).",11.389942589416252,883.4040825963252,427.2257595780888,11,1,0,2,-22.009278376178493,RISKLI_KAYIP,YUKSEK,0
"119 aylık abone, aylık 27.8 GB veri ve 736 dk konuşma, ortalama 596 TL harcama (ARPU).",27.836987248288036,736.2679006371218,596.3527585802767,119,1,0,1,-8.54365637526223,YUKSEK_DEGER,YUKSEK,0
"58 aylık abone, aylık 18.5 GB veri ve 630 dk konuşma, ortalama 450 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",18.52954793068345,630.8673374128821,450.24971091928245,58,2,1,0,16.48228366879721,YUKSEK_DEGER,YUKSEK,1
"46 aylık abone, aylık 27.8 GB veri ve 942 dk konuşma, ortalama 665 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",27.77237497859074,942.387439163406,665.2827366039066,46,2,1,1,24.846922539340603,YUKSEK_DEGER,YUKSEK,0
"29 aylık abone, aylık 10.6 GB veri ve 562 dk konuşma, ortalama 358 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",10.642777150439475,562.9918554678392,358.3314639163377,29,2,1,1,-4.773906898347558,YUKSEK_DEGER,YUKSEK,1
"35 aylık abone, aylık 25.0 GB veri ve 476 dk konuşma, ortalama 543 TL harcama (ARPU), geçmişte 3 teklif kabul etmiş sadık müşteri.",24.95813799649672,476.08886499566313,542.8525549392647,35,3,0,0,9.946336988196379,YUKSEK_DEGER,YUKSEK,1
"112 aylık abone, aylık 4.4 GB veri ve 630 dk konuşma, ortalama 266 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",4.363815916130778,630.7663832156514,266.1165544710598,112,2,2,1,9.789677659849254,BELIRSIZ,ORTA,1
"118 aylık abone, aylık 17.9 GB veri ve 753 dk konuşma, ortalama 456 TL harcama (ARPU).",17.90575447903721,753.2934736223192,456.4569552097292,118,0,0,0,13.272479626377082,YUKSEK_DEGER,YUKSEK,0
"15 aylık abone, aylık 26.0 GB veri ve 256 dk konuşma, ortalama 503 TL harcama (ARPU), veri kullanımı %24 düşüşte (churn sinyali).",25.9930826029818,256.4411808383478,503.24204386761426,15,0,1,1,-24.473684269151168,RISKLI_KAYIP,YUKSEK,1
"60 aylık abone, aylık 4.2 GB veri ve 656 dk konuşma, ortalama 223 TL harcama (ARPU), veri kullanımı %30 düşüşte (churn sinyali).",4.206224566032489,656.9737286980835,222.82921441635017,60,0,0,0,-30.375803263236975,RISKLI_KAYIP,YUKSEK,0
"95 aylık abone, aylık 10.7 GB veri ve 762 dk konuşma, ortalama 389 TL harcama (ARPU), veri kullanımı %51 düşüşte (churn sinyali), geçmişte 3 teklif kabul etmiş sadık müşteri.",10.734809923329976,762.069003107262,388.8017324679584,95,3,1,1,-51.48092533903496,RISKLI_KAYIP,YUKSEK,0
"42 aylık abone, aylık 17.9 GB veri ve 546 dk konuşma, ortalama 462 TL harcama (ARPU), 2 şikayet kaydı (memnuniyetsiz), geçmişte 2 teklif kabul etmiş sadık müşteri.",17.897497433300497,546.0716749406279,462.21338571120145,42,2,0,2,7.639027384747756,RISKLI_KAYIP,YUKSEK,0
